,Unnamed: 0,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,date_stamp,last_change,listing_date,delisting_date,month,new_listing_count,listing_count,year_id,month_id
91,91,NK-jZUjYyiAmxjk8TrQLbwPfN,LegalEntity,Rossiya 24 / Russia 24,,,,,,"""""",,,EU Sanctions Map,20220712,,20220712,,2022-07,12,12,2022,1
92,92,NK-jktotHJSDY685WjCGE4ph4,Vessel,YU JONG 2,,,,,8604917,"DPRK oil tanker M/V YU JONG 2 was involved in ship-to-ship transfer operations for oil in November 2017. M/V YU JONG 2 was also involved in a ship-to-ship transfer operation, likely for oil, with M/V MIN NING DE YOU 078 on 16 February 2018.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
93,93,NK-jqXHr8jsSFcyJZjkP7Jmvd,LegalEntity,UNITED AIRCRAFT CORPORATION,UNITED SHIPBUILDING CORPORATION;United Shipbuilding Corporation,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
94,94,NK-kGSx9aFJ4VHw5NG4jowD2i,Vessel,JI SONG 6,,,,,8898740,DPRK tanker M/V JI SONG 6 was involved in ship-to-ship transfer operations of oil in late January 2018.,,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
95,95,NK-kNULoiM7XfTYeWLtTZ4UHg,LegalEntity,ROSTEC (RUSSIAN TECHNOLOGIES STATE CORPORATION),Rostec (Russian Technologies State Corporation),,,,,"""""",,,EU Sanctions Map,20220614,,20220614,,2022-06,15,15,2022,4
96,96,NK-kURPPq7TpYAECqMuKbwT7b,Vessel,JI SONG 8,,,,,8503228,Economic resources of Phyongchon Shipping & Marine. DPRK cargo vessel M/V JI SONG 8 is owned by Phyongchon Shipping & Marine and is believed to have been involved in illicit transfers of prohibited DPRK goods.,,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
97,97,NK-kk4adkypucSWWmtJs3kTib,Person,Amid Husain AL KUNI,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
98,98,NK-m8TW9o46qYXyEGD6YAd5eW,LegalEntity,Novikombank,,,,,,"""""",,,EU Sanctions Map,20220712,,20220712,,2022-07,12,12,2022,1
99,99,NK-mgZKpF45Xfn74ubhzvb3do,LegalEntity,REN TV,,,,,,"""""",,,EU Sanctions Map,20230310,,20230310,,2023-03,10,10,2023,3
100,100,NK-mrYFXbBNaTamfG4A3zFVEB,Person,Abdulqader Yusef DIBRI,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
101,101,NK-nadYn652PLpsoCSPrtJMLN,Vessel,JIE SHUN,,,,,514569000;8518780,"""""",,,EU Sanctions Map,20230817,2023-04-20T12:14:15,20230817,,2023-08,3,3,2023,7
102,102,eu-sancmap-175cbd95e16f55350037259bffd0db5c70314679,Vessel,"CHON MYONG 1 Other information: DPRK oil tanker M/V CHON MYONG 1 conducted a ship-to-ship transfer, likely for oil, in late December 2017.",,,,,8712362,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
103,103,eu-sancmap-1faf75d3b5eeef5eacce4bcbeccfa78dad961893,LegalEntity,Rossiya 1,,,,,,"""""",,,EU Sanctions Map,20230309,,20230309,20230309.0,2023-03,10,10,2023,3
